side,row,col,char
RIGHT,4,6,B
RIGHT,4,7,C
RIGHT,4,8,D
RIGHT,4,9,E
RIGHT,4,10,F
RIGHT,4,11,G
RIGHT,4,12,H
RIGHT,4,13,I
RIGHT,4,14,J
RIGHT,4,15,L
RIGHT,4,16,M
RIGHT,4,17,N
RIGHT,4,18,Q
RIGHT,4,19,U
RIGHT,4,20,V
RIGHT,4,21,W
RIGHT,4,22,X
RIGHT,4,23,Z
RIGHT,4,24,K
RIGHT,4,25,R
RIGHT,4,26,Y
RIGHT,4,27,P
RIGHT,4,28,T
RIGHT,4,29,O
RIGHT,4,30,S
RIGHT,5,0,E
RIGHT,5,1,T
RIGHT,5,2,O
RIGHT,5,3,S
RIGHT,5,4,A
RIGHT,5,5,B
RIGHT,5,6,C
RIGHT,5,7,D
RIGHT,5,8,E
RIGHT,5,9,F
RIGHT,5,10,G
RIGHT,5,11,H
RIGHT,5,12,I
RIGHT,5,13,J
RIGHT,5,14,L
RIGHT,5,15,M
RIGHT,5,16,N
RIGHT,5,17,Q
RIGHT,5,18,U
RIGHT,5,19,V
RIGHT,5,20,W
RIGHT,5,21,X
RIGHT,5,22,Z
RIGHT,5,23,K
RIGHT,5,24,R
RIGHT,5,25,Y
RIGHT,5,26,P
RIGHT,5,27,T
RIGHT,5,28,O
RIGHT,5,29,S
RIGHT,5,30,A
RIGHT,6,0,F
RIGHT,6,1,O
RIGHT,6,2,S
RIGHT,6,3,A
RIGHT,6,4,B
RIGHT,6,5,C
RIGHT,6,6,D
RIGHT,6,7,E
RIGHT,6,8,F
RIGHT,6,9,G
RIGHT,6,10,H
RIGHT,6,11,I
RIGHT,6,12,J
RIGHT,6,13,L
RIGHT,6,14,M
RIGHT,6,15,N
RIGHT,6,16,Q
RIGHT,6,17,U
RIGHT,6,18,V
RIGHT,6,19,W
RIGHT,6,20,X
RIGHT,6,21,Z
RIGHT,6,22,K
RIGHT,6,23,R
RIGHT,6,24,Y
RIGHT,6,25,P
RIGHT,6,26,T
RIGHT,6,27,O
RIGHT,6,28,S
RIGHT,6,29,A
RIGHT,6,30,B
RIGHT,7,0,G
RIGHT,7,1,S
RIGHT,7,2,A
RIGHT,7,3,B
RIGHT,7,4,C
RIGHT,7,5,D
RIGHT,7,6,E
RIGHT,7,7,F
RIGHT,7,8,G
RIGHT,7,9,H
RIGHT,7,10,I
RIGHT,7,11,J
RIGHT,7,12,L
RIGHT,7,13,M
RIGHT,7,14,N
RIGHT,7,15,Q
RIGHT,7,16,U
RIGHT,7,17,V
RIGHT,7,18,W
RIGHT,7,19,X
RIGHT,7,20,Z
RIGHT,7,21,K
RIGHT,7,22,R
RIGHT,7,23,Y
RIGHT,7,24,P
RIGHT,7,25,T
RIGHT,7,26,O
RIGHT,7,27,S
RIGHT,7,28,A
RIGHT,7,29,B
RIGHT,7,30,C
RIGHT,8,0,H
RIGHT,8,1,A
RIGHT,8,2,B
RIGHT,8,3,C
RIGHT,8,4,D
RIGHT,8,5,E
RIGHT,8,6,F
RIGHT,8,7,G
RIGHT,8,8,H
RIGHT,8,9,I
RIGHT,8,10,J
RIGHT,8,11,L
RIGHT,8,12,M
RIGHT,8,13,N
RIGHT,8,14,Q
RIGHT,8,15,U
RIGHT,8,16,V
RIGHT,8,17,W
RIGHT,8,18,X
RIGHT,8,19,Z
RIGHT,8,20,K
RIGHT,8,21,R
RIGHT,8,22,Y
RIGHT,8,23,P
RIGHT,8,24,T
RIGHT,8,25,O
RIGHT,8,26,S
RIGHT,8,27,A
RIGHT,8,28,B
RIGHT,8,29,C
RIGHT,8,30,D
RIGHT,9,0,I
RIGHT,9,1,B
RIGHT,9,2,C
RIGHT,9,3,D
RIGHT,9,4,E
RIGHT,9,5,F
RIGHT,9,6,G
RIGHT,9,7,H
RIGHT,9,8,I
RIGHT,9,9,J
RIGHT,9,10,L
RIGHT,9,11,M
RIGHT,9,12,N
RIGHT,9,13,Q
RIGHT,9,14,U
RIGHT,9,15,V
RIGHT,9,16,W
RIGHT,9,17,X
RIGHT,9,18,Z
RIGHT,9,19,K
RIGHT,9,20,R
RIGHT,9,21,Y
RIGHT,9,22,P
RIGHT,9,23,T
RIGHT,9,24,O
RIGHT,9,25,S
RIGHT,9,26,A
RIGHT,9,27,B
RIGHT,9,28,C
RIGHT,9,29,D
RIGHT,9,30,E
RIGHT,10,0,J
RIGHT,10,1,C
RIGHT,10,2,D
RIGHT,10,3,E
RIGHT,10,4,F
RIGHT,10,5,G
RIGHT,10,6,H
RIGHT,10,7,I
RIGHT,10,8,J
RIGHT,10,9,L
RIGHT,10,10,M
RIGHT,10,11,N
RIGHT,10,12,Q
RIGHT,10,13,U
RIGHT,10,14,V
RIGHT,10,15,W
RIGHT,10,16,X
RIGHT,10,17,Z
RIGHT,10,18,K
RIGHT,10,19,R
RIGHT,10,20,Y
RIGHT,10,21,P
RIGHT,10,22,T
RIGHT,10,23,O
RIGHT,10,24,S
RIGHT,10,25,A
RIGHT,10,26,B
RIGHT,10,27,C
RIGHT,10,28,D
RIGHT,10,29,E
RIGHT,10,30,F
RIGHT,11,0,K
RIGHT,11,1,D
RIGHT,11,2,E
RIGHT,11,3,F
RIGHT,11,4,G
RIGHT,11,5,H
RIGHT,11,6,I
RIGHT,11,7,J
RIGHT,11,8,L
RIGHT,11,9,M
RIGHT,11,10,N
RIGHT,11,11,Q
RIGHT,11,12,U
RIGHT,11,13,V
RIGHT,11,14,W
RIGHT,11,15,X
