index,x_model,y_model,z_model,x_real_m,y_real_m,z_real_m,arclength_model,arclength_real_m,segment
88,-21.453539,-8.000000,86.936462,-0.637063,-0.237560,2.581578,439.808918,13.060126,away_arc
89,-19.492102,-7.500000,82.065147,-0.578818,-0.222712,2.436925,445.084043,13.216771,away_arc
90,-21.432346,-7.000000,78.842148,-0.636434,-0.207865,2.341218,448.879076,13.329464,away_arc
91,-21.445255,-6.500000,83.759354,-0.636817,-0.193018,2.487234,453.821655,13.476234,away_arc
92,-21.419437,-6.000000,63.846107,-0.636050,-0.178170,1.895910,473.741194,14.067745,away_arc
93,-21.442827,-5.500000,74.493317,-0.636745,-0.163322,2.212079,484.400162,14.384263,away_arc
94,-21.439894,-5.000000,76.048248,-0.636658,-0.148475,2.258253,486.033509,14.432765,away_arc
95,-21.493221,-4.500000,81.705109,-0.638241,-0.133628,2.426233,491.712674,14.601408,away_arc
96,-21.502464,-4.000000,72.413216,-0.638516,-0.118780,2.150310,501.018014,14.877730,away_arc
97,-19.588911,-3.500000,72.413216,-0.581693,-0.103932,2.150310,502.995813,14.936461,away_arc
98,-21.569767,-3.000000,73.960793,-0.640514,-0.089085,2.196266,505.558777,15.012568,away_arc
99,-21.626719,-2.500000,74.107491,-0.642205,-0.074237,2.200622,506.082956,15.028133,away_arc
100,-21.659138,-2.000000,80.201088,-0.643168,-0.059390,2.381571,512.197118,15.209693,away_arc
101,-21.712261,-1.500000,70.641144,-0.644746,-0.044542,2.097689,521.770276,15.493968,away_arc
102,-19.831944,-1.000000,78.022095,-0.588910,-0.029695,2.316866,529.403364,15.720633,away_arc
103,-21.829702,-0.500000,74.893188,-0.648233,-0.014847,2.223953,533.149174,15.831865,away_arc
104,-21.908092,0.000000,80.201088,-0.650561,0.000000,2.381571,538.481148,15.990198,away_arc
105,-20.129314,0.500000,83.183327,-0.597740,0.014847,2.470129,541.989395,16.094375,away_arc
106,-22.159735,1.000000,86.294876,-0.658033,0.029695,2.562526,545.738308,16.205699,away_arc
107,-22.257006,1.500000,79.696884,-0.660922,0.044542,2.366599,552.355933,16.402209,away_arc
108,-20.417973,2.000000,74.554108,-0.606312,0.059390,2.213884,557.840474,16.565073,away_arc
109,-22.457645,2.500000,74.497833,-0.666880,0.074237,2.212213,559.941291,16.627457,away_arc
110,-22.590504,3.000000,74.186844,-0.670825,0.089085,2.202978,560.544918,16.645381,away_arc
111,-20.743843,3.500000,79.680054,-0.615988,0.103932,2.366099,566.361748,16.818112,away_arc
112,-22.829704,4.000000,73.282936,-0.677928,0.118780,2.176137,573.108891,17.018469,away_arc
113,-21.016781,4.500000,74.893188,-0.624093,0.133628,2.223953,575.584694,17.091988,away_arc
114,-23.105532,5.000000,84.345413,-0.686119,0.148475,2.504637,585.277859,17.379826,away_arc
115,-23.232485,5.500000,84.545120,-0.689889,0.163322,2.510567,585.831031,17.396252,away_arc
116,-21.421186,6.000000,86.581833,-0.636102,0.178170,2.571048,588.602132,17.478540,away_arc
117,-23.544785,6.500000,78.321068,-0.699162,0.193018,2.325744,597.146131,17.732254,away_arc
118,-21.761961,7.000000,84.433487,-0.646221,0.207865,2.507252,603.532846,17.921908,away_arc
119,-21.918556,7.500000,75.626259,-0.650872,0.222712,2.245722,612.355645,18.183901,away_arc
120,-24.058804,8.000000,83.346497,-0.714426,0.237560,2.474974,620.382645,18.422263,away_arc
121,-22.277412,8.500000,80.561073,-0.661528,0.252408,2.392261,623.726586,18.521561,away_arc
122,-24.429323,9.000000,82.065079,-0.725429,0.267255,2.436923,626.399178,18.600924,away_arc
123,-22.669647,9.500000,78.177048,-0.673175,0.282102,2.321467,630.696066,18.728520,away_arc
124,-22.869946,10.000000,64.629059,-0.679123,0.296950,1.919160,644.254758,19.131145,away_arc
125,-25.035294,10.500000,73.832718,-0.743423,0.311798,2.192463,653.722919,19.412302,pool_arc
126,-25.284138,11.000000,84.032524,-0.750812,0.326645,2.495346,663.938004,19.715639,pool_arc
127,-25.491211,11.500000,74.398315,-0.756962,0.341492,2.209258,673.587401,20.002178,pool_arc
128,-25.734272,12.000000,75.626251,-0.764179,0.356340,2.245722,674.935327,20.042205,pool_arc
129,-25.956791,12.500000,72.413170,-0.770787,0.371188,2.150309,678.194684,20.138991,pool_arc
130,-24.212622,13.000000,73.198082,-0.718994,0.386035,2.173617,680.171604,20.197696,away_arc
131,-26.494808,13.500000,73.398079,-0.786763,0.400882,2.179556,682.516465,20.267326,pool_arc
132,-24.739584,14.000000,74.257957,-0.734642,0.415730,2.205090,684.533940,20.327235,away_arc
133,-25.002405,14.500000,61.537914,-0.742446,0.430578,1.827368,697.266519,20.705329,pool_arc
134,-27.302311,15.000000,70.241241,-0.810742,0.445425,2.085814,706.282475,20.973058,pool_arc
135,-27.633543,15.500000,75.626297,-0.820578,0.460272,2.245723,711.700827,21.133956,pool_arc
136,-27.917442,16.000000,79.670235,-0.829008,0.475120,2.365808,715.785436,21.255249,pool_arc
137,-26.158279,16.500000,83.627502,-0.776770,0.489968,2.483319,720.144865,21.384702,pool_arc
138,-26.452896,17.000000,82.551010,-0.785519,0.504815,2.451352,721.367827,21.421018,pool_arc
139,-28.916340,17.500000,79.595222,-0.858671,0.519663,2.363580,725.247935,21.536237,pool_arc
140,-29.266609,18.000000,69.136253,-0.869072,0.534510,2.053001,735.724705,21.847345,pool_arc
141,-29.574684,18.500000,78.121078,-0.878220,0.549357,2.319805,744.728704,22.114719,pool_arc
142,-27.797287,19.000000,75.898277,-0.825440,0.564205,2.253799,747.618338,22.200527,pool_arc
143,-28.048471,19.500000,70.641174,-0.832899,0.579052,2.097690,752.905135,22.357518,pool_arc
144,-28.411812,20.000000,77.721085,-0.843689,0.593900,2.307928,760.011973,22.568556,pool_arc
145,-31.150822,20.500000,77.349091,-0.925024,0.608747,2.296881,762.820986,22.651969,pool_arc
146,-31.337950,21.000000,73.455238,-0.930580,0.623595,2.181253,766.751267,22.768679,pool_arc
147,-29.677586,21.500000,67.749100,-0.881276,0.638443,2.011810,772.715060,22.945774,pool_arc
148,-30.052773,22.000000,66.709892,-0.892417,0.653290,1.980950,773.927791,22.981786,pool_arc
149,-32.794853,22.500000,55.581642,-0.973843,0.668137,1.650497,785.399798,23.322447,pool_arc
150,-33.115509,23.000000,62.351116,-0.983365,0.682985,1.851516,792.195282,23.524239,pool_arc
151,-33.350658,23.500000,72.588020,-0.990348,0.697832,2.155501,802.447087,23.828666,pool_arc
152,-31.564495,24.000000,83.062973,-0.937308,0.712680,2.466555,813.084991,24.144559,pool_arc
153,-31.904266,24.500000,84.124023,-0.947397,0.727527,2.498063,814.306168,24.180822,pool_arc
154,-32.252968,25.000000,82.042969,-0.957752,0.742375,2.436266,816.474666,24.245215,pool_arc
155,-34.661129,25.500000,72.992676,-1.029262,0.757223,2.167518,825.853207,24.523711,pool_arc
156,-34.962181,26.000000,79.672920,-1.038202,0.772070,2.365887,832.558899,24.722837,pool_arc
157,-35.249695,26.500000,74.468513,-1.046740,0.786917,2.211343,837.795168,24.878328,pool_arc
