label,length,fixed_score,windowed_score,shuffled_score,delta_windowed,delta_shuffled,pass_deltas,z_ngram,z_coverage,z_compress,penalties
H0844,42,2.6167551329744443,2.6167551329744443,0.43501089450372277,0.0,2.1817442384707215,False,3.950666413111033,2.3970149916413703,0.0,0.0
H0849,42,2.125267964365748,2.125267964365748,-0.06308890915055704,0.0,2.1883568735163053,False,2.858472705091708,2.3970149916413703,0.0,0.0
H1024,42,2.9660305565026577,2.9660305565026577,0.0637783152961374,0.0,2.9022522412065204,False,3.950666413111033,3.3949447731505513,0.0,0.0
H1033,42,2.5184576992527052,2.5184576992527052,-1.1855185323615187,0.0,3.7039762316142237,False,3.7322276715071685,2.3970149916413703,0.0,0.0
H1060,42,2.8133500004179233,2.8133500004179233,-0.3294114195908199,0.0,3.142761420008743,False,4.387543896318764,2.3970149916413703,0.0,0.0
H1141,42,2.959417921457075,2.959417921457075,0.35867061646135556,0.0,2.6007473049957195,False,3.7322276715071685,3.6569013407967117,0.0,0.0
H1157,42,3.1626254239461367,3.1626254239461367,-0.98892366491804,0.0,4.151549088864177,False,4.387543896318764,3.3949447731505513,0.0,0.0
H1172,42,3.254310222622293,3.254310222622293,0.5333083282254623,0.0,2.7210018943968306,False,4.387543896318764,3.6569013407967117,0.0,0.0
H1414,42,2.959417921457075,2.959417921457075,-1.4518410428017814,0.0,4.411258964258856,False,3.7322276715071685,3.6569013407967117,0.0,0.0
H1473,42,2.3218628318092267,2.3218628318092267,0.13350595829292167,0.0,2.1883568735163053,False,3.295350188299438,2.3970149916413703,0.0,0.0
H1630,42,1.9917881048734705,1.9917881048734705,-0.98892366491804,0.0,2.9807117697915104,False,1.766278997072383,3.4198930176882807,0.0,0.0
H1644,42,2.9660305565026577,2.9660305565026577,0.13350595829292167,0.0,2.8325245982097362,False,3.950666413111033,3.3949447731505513,0.0,0.0
H1923,42,1.9917881048734705,1.9917881048734705,0.006638733846226874,0.0,1.9851493710272436,False,1.766278997072383,3.4198930176882807,0.0,0.0
H2094,42,2.125267964365748,2.125267964365748,-0.7923287974745612,0.0,2.9175967618403096,False,2.858472705091708,2.3970149916413703,0.0,0.0
H2509,42,2.125267964365748,2.125267964365748,-1.058651307914824,0.0,3.1839192722805723,False,2.858472705091708,2.3970149916413703,0.0,0.0
H2581,42,1.9917881048734705,1.9917881048734705,-0.9191960219212559,0.0,2.9109841267947263,False,1.766278997072383,3.4198930176882807,0.0,0.0
H2770,42,2.715052566696184,2.715052566696184,-0.5260062870342985,0.0,3.2410588537304825,False,4.169105154714899,2.3970149916413703,0.0,0.0
H2807,42,2.125267964365748,2.125267964365748,-0.13281655214734114,0.0,2.2580845165130894,False,2.858472705091708,2.3970149916413703,0.0,0.0
H2900,42,2.959417921457075,2.959417921457075,1.0879105047853594,0.0,1.8715074166717154,False,3.7322276715071685,3.6569013407967117,0.0,0.0
H2906,42,2.959417921457075,2.959417921457075,-0.8620564404713453,0.0,3.82147436192842,False,3.7322276715071685,3.6569013407967117,0.0,0.0
H0181,43,3.063841068782339,3.063841068782339,-0.13345395869455412,0.0,3.197295027476893,False,4.24022474500453,3.30211409580086,0.0,0.0
H0253,43,2.4346539888492202,2.4346539888492202,-0.058889035955497784,0.0,2.493543024804718,False,3.6001484323978548,2.3273919836291026,0.0,0.0
H0387,43,2.867491526785492,2.867491526785492,-0.8055340869315628,0.0,3.673025613717055,False,3.6001484323978548,3.5640706634470205,0.0,0.0
