label,category,mode,score_norm,anchor_score,z_ngram,z_coverage,z_compress
CORRIDOR_NORTHEAST_SHIFT+1_058,NORTHEAST,r4,-0.7028902828385234,0.9166666666666666,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_058,NORTHEAST,shuffled,-0.8403902828385234,0.0,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_059,NORTHEAST,fixed,-0.7403902828385233,0.6666666666666666,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_059,NORTHEAST,r1,-0.7153902828385234,0.8333333333333334,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_059,NORTHEAST,r2,-0.7153902828385234,0.8333333333333334,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_059,NORTHEAST,r3,-0.70705694950519,0.888888888888889,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_059,NORTHEAST,r4,-0.7028902828385234,0.9166666666666666,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_059,NORTHEAST,shuffled,-0.8403902828385234,0.0,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_060,NORTHEAST,fixed,-0.7403902828385233,0.6666666666666666,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_060,NORTHEAST,r1,-0.7153902828385234,0.8333333333333334,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_060,NORTHEAST,r2,-0.7153902828385234,0.8333333333333334,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_060,NORTHEAST,r3,-0.70705694950519,0.888888888888889,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_060,NORTHEAST,r4,-0.7028902828385234,0.9166666666666666,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_060,NORTHEAST,shuffled,-0.8403902828385234,0.0,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+2_061,NORTHEAST,fixed,-0.8600245354349957,0.6666666666666666,-3.0045684162570883,1.6403565193742373,-0.12038585308576924
